Supplier,21st Jun 2021,28th Jun 2021,5th Jul 2021,12th Jul 2021,19th Jul 2021,26th Jul 2021,2nd Aug 2021,9th Aug 2021,16th Aug 2021,23rd Aug 2021,30th Aug 2021,6th Sep 2021,13th Sep 2021,20th Sep 2021,27th Sep 2021,4th Oct 2021,11th Oct 2021,18th Oct 2021,25th Oct 2021,1st Nov 2021,8th Nov 2021,15th Nov 2021,22nd Nov 2021,29th Nov 2021,6th Dec 2021,13th Dec 2021,20th Dec 2021,27th Dec 2021,3rd Jan 2022,10th Jan 2022,17th Jan 2022,24th Jan 2022,31st Jan 2022,7th Feb 2022,14th Feb 2022,21st Feb 2022,28th Feb 2022,7th Mar 2022,14th Mar 2022,21st Mar 2022,28th Mar 2022,4th Apr 2022,11th Apr 2022,18th Apr 2022,25th Apr 2022,2nd May 2022,9th May 2022,16th May 2022,23rd May 2022,30th May 2022,6th Jun 2022,13th Jun 2022,20th Jun 2022,27th Jun 2022,4th Jul 2022,11th Jul 2022,18th Jul 2022,25th Jul 2022,1st Aug 2022,8th Aug 2022,15th Aug 2022,22nd Aug 2022,29th Aug 2022,5th Sep 2022,12th Sep 2022,19th Sep 2022,26th Sep 2022,3rd Oct 2022,10th Oct 2022,17th Oct 2022,24th Oct 2022,31st Oct 2022,7th Nov 2022,14th Nov 2022,21st Nov 2022,28th Nov 2022,5th Dec 2022,12th Dec 2022,19th Dec 2022,26th Dec 2022,2nd Jan 2023,9th Jan 2023,16th Jan 2023,23rd Jan 2023,30th Jan 2023,6th Feb 2023,13th Feb 2023,20th Feb 2023,27th Feb 2023,6th Mar 2023,13th Mar 2023,20th Mar 2023,27th Mar 2023,3rd Apr 2023,10th Apr 2023,17th Apr 2023,24th Apr 2023,1st May 2023,8th May 2023,15th May 2023,22nd May 2023,29th May 2023,5th Jun 2023,12th Jun 2023,19th Jun 2023,Revenue,Cost of Goods Sold,Gross Profit,Margin (%),Tax
The Period Co.,1083.9,1456.36,1521.40001,1557.5,1393.8,970.37,794.19,924.365,1235.72749,1065.809,1143.98,1024.83,1245.91899,1202.24,1769.76,1284.57,1387.3,1234.32,1376.91,1237.89,1642.908,1181.94,1533.73,1799.66,2089.186,1552.71,1215,1163.1,1597.71,1628.44,1068.13,1475.198,1274,987.45,1076.4,1338.83,1063.4481,1049.96,1230.21,1158.24,1281.27,1669.95,1417.52,1518.79,1823.7,758.7,1360.2,1254.23,897.4,1191.7,617.8,1051.705,1730.6,1141.51,895.02,822.4,1399.04835,1405.15,692.22,1639.97,967.94,989.02,888.46,1213.09,1211.385,671.11,1237.81,1409.3,1410.29,1141.68,1188.91,1266.32,1774.302,1092.78,803.22,1315.11,1381.21,1117.6,1213.9,1083.01,1055.22,817.6687,839.34341,1256.76263,1241.19961,1085.21177,934.3,1101.86,1330.1,1077.745,1469.02,1056.15,1430.84557,992.92,1416.82,1900.1,1825.73,1219.32,1263.14,648.16,1312.01,1432.93,1816.95,1683.8,270.23,130460.25763,0,130460.25762,1,0
You Living,579.14,426.54,250.24,1103.38,701.46,372.81,325.51,335.83,107.48,516.55,714.18,650.78,483.05,496.94,353.559,302.55,191.87,151.83,632.61,511.68,808.5,265.13,789.51,578.085,1157.06,1878.5,2384.11,2705.4,1577,1029.12,1955.8,1765.16731,1346.86,658,1679.71,688.82,546.3,1120.3,940,657.9,1053.2,1313.35,683.05,1566.45,1045.7,930.4,1286.5,1101.5,1227.25,899.61,691.3,995.8,641.9,329.4,707.8,1130.22,1152.876,704.9,812.81,1290.43,893.2,858.9,878.9484,1022.55,1314.015,647.2,1100.44,1102.21,705.6,919.2,747.6,522.4,1760.86,1739.83,833.61,1310.6,1084.57,1403.64,1858.815,1532.87,832.5,1851.1,1143.37643,1693.58383,770.15,536.9,551.3,470.83333,460.5,382.335,708.45,984.8,826.6,985.75,1419.16,1286.4,748.6832,949.21,1722.16,1077.9,1695.6,1914.71,1783.9,1045.91681,350.75122,101733.33553,0.59296,101732.74256,0.99999,0
Home & Gifts Enterprise(Petale Tea),226,160.8,282,329,247.8,83,72.2,232.62,572.24,258,418.6,435.72,361.4,94.5,217.2,122,286.8,352.65,389.5,872.55,498.68,491.6,592,1637.1,5901.28,6583.75,6584.7,552,734,242.2,521.28,1009.51269,377,590.6,577,278.55,325.2,928,1179.88,725.4,452.05,509.4,334.375,7152.775,378.8,736.8,1130.2,374.5,720.95,126,554.4,218.2,879,643.68,295,932.7,921.9,801.4,323.8,499.9,892.8,830.5,786.85,519.9,769.45,907.15,499.25,429.6,733.875,466,537.8,674.3,729.168,1403.5,848.1,3072.3,2876.14,5434.7,6989.2,983.5,830.2,867.24,553.6,753.70648,426.15878,773.65,452,509,604.3952,805.8,921,166,775.4,284.2,772.6,533.4,762.65,575.6,1037.6,640,736.4,529,619.8,573.86894,206,100423.49509,0,100423.49509,1,0
Herbs in Sync Pte. Ltd (Iryasa),121.6,258.16,299.4,276.69,173,285.55,212.61,344.77,342.21,268.02,266.99998,210.2,439.70001,377.5,125.91,0,16.5,197.025,273.24,597.895,220.29999,166.50001,376.1,1158.68501,580.8,397,616.9,250.4,61,180.99999,369.2,375.2,671.368,725.39999,614.49999,220,325,108.4,1546.14,383.79676,877.49999,430.49999,420.49999,12344.825,396.15,159.5,438.1,265.7,446.95,182,177,399.5,106,208.31,690.4,254.9,910.25,269.15,727.4425,1297.2,599.85,532.295,911.5575,438.21,817.5475,733.685,626.225,1167.93,417.54,897.3,883.26,623.8375,658.61,279.35,613.22,758.83,1659,1562.67,3293.6125,1469.175,964.55,663.58999,428.70936,1250.92893,1378.18649,2381.1,1647.25,1543.2,1097.6,1583.3625,699.955,1094.575,386.73559,934.05,1054.875,1117.8,540.15,725.71,858.6,1126.48,1111.13,914.25,1654.65,1002.01,410.5,80950.20006,0,80950.20006,1,0
Oasis Botanicals LLP,169.8,409.2,499,206,508.3,309,250.2,300.7,552.82,221.11,500.7,259.3,388.62,245.4,347,274.6,408.5,237.7,251.3,172.71,497.39,263,534.3,520.55,498.34,910.8,706,647,525.1,520,442.9,526.84,292.52,210.9,215.5,314,196,492.4,478.6,447,208,431.5,538.4,385.63,460.4,318.5,249,464,353,587.8,393.7,787.7,793.7,647.4,553,475.9,525.01,578,639,1226.17102,515.9,742,748.265,844.47,955.6,636.3,992.2,866.2,861.31,824.71,1197.90578,1226.21,1985.074,911,1024.47,1463.1,1800.815,1878.995,1517.915,1180.885,983.76,1055.45345,642.30535,1142.60076,1155.30677,883.60953,818.7,858.2,753,1272.885,1069.8,645.205,747.9,910.8,718.42,1353.35,1233.96461,1175.9,2080.8,1248.05,1516.21,1716.3,1511.74,1340.20999,761.2,76135.90626,0,76135.90626,1,0
Bamboo Straw Girl,531.7,689.05,821.5,460.4,524.5,656.41612,770.3,911.6,1039.45869,674.55,502.65,344.4,369.18579,701.8,727.15,780.6,566.75,592.1,664.45,599.93041,1361.97,592.1,1043.95,1116.3,1026.38,620.1,2029.8,1142.7,772.05,986.5,462.7,841.268,764.26,698.4,847.46,585,293.6219,610.7,547.35,898.3,644.8,393.9,714.2,402.55,520.05,599.3,664.4,776.675,588.4,467.7,245.55,441.9,655.8,463.25,506.3,803,445.825,582.4,589.85,1076.6,442.45,831.7,479.5,539,544.6,494.81,501.75,478.12,303.1,162.95,334,310.9,852.946,627.4,677.51,984.41215,1448.7,1936.31,1714.05,1120.74294,980.2,554.32174,605.98701,483.2685,688.43416,494,685.81,771.55,566.91,680.835,662.22,718.469,638.8675,703,462.41,702.11,651.95462,752.36497,346.31,344.2,593.3,952,636.8,823.6,199.71,72235.4345,0,72235.4345,1,0
Innerfyre Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,292.6,98.61,508.56,541.8,855.2,814.945,1405.224,1347.8,1637.6,432,396,351,331.8,538.6,329.6,504,508,308,407.3,617,393.2,200,240,236,312,4521.8,597.7,647.2,601.64,783.8,400.4,317.4,504.2,345.2,523.2,437,396.82,264.8,396.60218,213.2,423.6,549.08,447.8,563.4,570.82,487.4,548.22,355.42,255,643.28,477,173.7,660.52,336.2,669.76,946.82,500.4,1301.04,2618.75,3508.5,4156.41,1480.92,542.4,581.3,413.01497,453.77081,375.4648,839.4,832.6,1021.4,522.6,982.43,620.8,708.2,550.02,609,749.52,671.46,634.6,1150.1,886.8,644.3,626.4,782.2,485.6,532.5,387.12,62872.84176,0,62872.84176,1,0
Ma Te Sai,436.6,166.1,442.8,344,168,275.2,196,220.6,379.8,225.71,525.5,217.6,355.7,334.7,283.19,396.35,325.85,301.1,230.4,483.07998,563.85999,433.99994,441.54996,870.28993,554.15997,848.84992,1272.79997,567.89998,446.71,516.5,136.6,308.68,914.8,311.2,567.55,518.4,423.89375,563.65,195.2,446.9,699,531.4,269.95822,300.35,299.12,474.9,814.7,516.3,860.4,317,516.4,542.2,210.6,405.2,452,640.9,462.6,226,450.1,428.61,652.5,284,605.35,249.1,577.9,385.3992,137.2,439.02,590.94,535.3,655.8,166.5,362.502,698.91,380.2,569.80002,776.21,866.55,845.975,359.9,286,670.68,325.81223,574.89758,268.9,242.9,157.8,220.9,413.4,585.875,654.7,387.5,397.15,681,708.2,808,434.3568,741.7,614.6,265.05,368.6,402.2,1130,849.53888,176.3,49134.62832,0,49134.62831,1,0
Indosole,212,350,98,355,296.5,49,248.3,395.3,186.2,252.3,314.3,49,593.7,186.2,257.8,245.1,457.4,250.3,209.1,160.1,816.29,208.6,343.2,411.6,528.36,507,633.5,436,594.1,237.3,411.3,358.98,1017.4,306.8,326.4,267.2,568.37,483.7,669.3,404.2,216,261,293.1,150.15,365,890,683.1,936.3,498.1,651,631,427,434,277.5,431.5,240,179,456.5,220,521,303,445,365,310.1,473.8,276.6,513.5,309,453,176.5,662,199,889.64,509,678,252,430.5,461.5,719.25,672.6,368,842.65,443.72607,696.72656,623.5,788.15047,499.5,321.75,580.75,452,389.5,296.5,425.5,189.1,228,554.5,416,227.1,391.6,580,441.5,550.6,848,529.8,204,44443.8931,0,44443.8931,1,0
Touch The Toes,471,176,583,542,344,279,446.2,559.6,112.2,538,470,156,165,589.2,442.4,106.2,483.9,767.9,230,50,767.5,48,266.9,337.45,146,152,827.5,516,728,659,197,378.84,315.16,353,338,18,411,619,348,147,0,119,240,480.15,69,215,207,709,8,184,36,154,38,522,460,563,570.9,36,611.5,512.5,380,4,435,103,1096.2,133.2,1065.5,545,93,38,351,224,89.7,359,913.8,295,452.95,677.2,785,74,413,644.7,746.25843,210.75408,581.23833,823,538,38,436,1139.7,622,314,1350.7,490,490,270.2,338.53468,193,332,472.4,586,924,417,928.7,545,42778.73552,0,42778.73552,1,0
Zhai Pte Ltd,218,344.4,332.61,106.5,106.21,110.8,32.9,234.44,297.12,217.80663,205.01,302.48,162.12,119.15,274.89,108.41,359.72,349.33,269.31,272.91,557.328,341.51,298.53,717.89,390.36,977.4,1430.91,251.9,337.91,342.3,126.425,144.3,120.6,229.7,360.5,147.9,184.35828,256.22,190.06,248.4,298.1,194.01,183.6,201.415,205.1,299.9,512.5,280.8,448.3,394.1,236,214.6,414.5,158.9,240.1,190.21,195.50336,382.8,323.92,340.27,181.8,248.5,253.625,311.43,279.01,318.62,206.04,464.67,143.01,195,213.21,213.9,401.286,503.6,425.51,648.06,882.41,635.58,647.57,245.735,298.71,243.6,146.2,140.2,73.58506,184.1,332.9,306.42,240.71981,313.355,70.41,184.7,253.43,215.81,268.1,152.51,191.58838,286.71982,300.4,282.2,138,306.1,55.32,253.6,62.61,30513.10034,108.69,30404.41034,0.99644,0
Wellness Within,190.75,525.68,287.25,155.4,232.71,228.32707,239.475,531.58,411.49106,410.985,551.61,320.335,230.56476,440,502.17,318.595,127.42,406.055,249.35,200.69938,276.772,237.14,519.88,562.77,395.654,544.55001,613.465,338.65,433.22,350.45,558.505,395.668,469.3,461.765,564.705,413.8,189.61,175.15,585.865,551.25,231.85,406.55,343.45,595.065,267.45,535.55,405.4,296.615,144.45,547.07,326.605,332.35,505.87,325.99,325.735,183.375,416.73352,311.0575,115.96,426.465,140.3,70.76,134.465,165.505,128.155,126.28,274.965,296.63,217.905,234.1,122.55,271.32,279.817,259.83,95.55,305.93,207.615,122.5,251.005,168.82,280.15,93.36,81.75,90.52994,0,91.75,19.95,17.955,19.95,0,0,0,17.955,19.95,0,0,19.95,29.95,78.75,29.9,39.9,50.9,148.365,170.55,19.95,27437.72424,0,27437.72424,1,0
aNERDstore,319.6,109.9,128.4,109.9,160.6,234.63,124.2,113.41,57.31,509.43,203.42,505.92,234.51,169.7,112.5,201.81,69,160.92,86.74,176.01,257.379,381.82,453.04,244.825,94.6,0,772.6,613.6,328.8,305.45,784.91,621.72,137.7,252,68,96,58,142.9,137.4,80.8,366.5,540,331.74178,577.915,225.9,500,710.1,362.8,392.6,422.6,289.7,539.5,32,105,290.8,458.9,450.5,153.9,146.8,26.1,191,284.9,470.2,118,681.4,197.1,156.2,161,236,164.9,47,164,447.72,237.6,95.4,171,246.9,96.9,297.51,817.1,592.91,50.4,89,259.02444,66.8,59.9,318,320.2,268,83.45,131,8,32.4,39,246.9,44,38.1,28.2,436,95,254,16.2,146,210,146,25803.12522,0,25803.12522,1,0
TGCSG,73.01,141.69,155,65,128.11,75,47.49,93.056,63.72145,57.55,168.59,120,86.29,112.2,44,48.5,200,73,82.21,135,118.6,102,207,192,60,163,256,253,205,314,163,442.82,279.12,242,405.188,161.08,243.32,288.46,247.95,288,173,180,200,468.25,183,327,479,205,400,284,149,290,359,179,87,102,324.20632,218,295,288.5,147,201.9,192.95,141.05,248.5,290,160.76,229.5,244,116.9,214.8,189.88,241.686,149,375.9,2058.8,363.62,565,684.5,463,477,394.74477,184.5,252.14286,385,164,401,408,265,290.5,252.7,272.5,275,268,218,250.9915,64,108.95,168,73,35,140,109.8,143,40,24711.4869,179.5,24531.98691,0.99274,0
Sol+,188,263.9,278.4,333.5,189.8,122.1,209.27,124.7,123.22,172.9,330.1,225.32,87.9,149.8,117.71,28.8,284.22,240.72,181.41,377.5,221.944,207.21,465.22,422.08,736.862,943.5,810.7,250.71,203.1,97.9,154,154.758,485.6,425.3,416.5,173.5,220.8,230.8,138.51,428.8,229.6,263.8,275.6,255.8,119,411.91,128,345.6,358.1,205.8,109.7,79.8,284.7,230.8,68.8,97.8,76.61,237.9,212.1,249.11,247.7,207.5,101.7,133.71,119.9,23,151.8,110.31,87.8,92.1,233.5,249.4,151.16,255.8,138.81,266.9,210.82,565.8,303.6,192,30,154,62,195,99.9,374.7,176,180.9,201,141.3,249,251.7,326,396.2,187,354.8,147.7,218,240.9,210.7,130,55.9,110.81,462.27653,71.6,24328.29053,0,24328.29053,1,0
RG Velvet(Natural World Eco),58.5,459,371,239,199,265,278,202.5,282,118.1,209,588.6,147.5,207.2,212.6,429.1,129.6,250.6,188.5,277.2,249.72,233,340.1,444,339.24,779,605.9,374,278,79,380.5,293.3,217,219,432,260,404,278,144,422,422,459,314,248.2,65,497,696,384,65,195,65,636.5,209,525,328,136.1,46.51889,130,306,393.2,123.5,423.6,0,192.5,0,239.1,58.5,0,0,164,349.1,195,101.4,299,65,185.6,222.5,304.1,0,65,79,271.5,148,137.5,65,58.5,302.5,154,158,235.15,55,69,197.15,123.5,150.1,89,89,65,79,65,65,223,130,79,65,24145.07889,65,24080.07889,0.99731,0
August Society,388.32,309.5,64.8,256.9,341.9,0,134.91,82.81,577.24,17.91,0,182.81,518.95,24.9,338.2,0,0,493.9,125.82,466.3,0,198.12,217.4,389.685,142.8,252.7,293.6,189.8,568.536,323.48,63.9,131.036,0,177.51,89.8,109.7,505.71,107.9,441.51,573.6,324.75,545.39,377.12,230.965,784.27,809.9,534.4,952.32,129.9,284.57,449.6,159.81,0,45,88,0,137.24316,150.72,194.9,83.4,45,90,0,408.54,213.72,59.9,130.41,257.73,355.2,82.8,449.6,104.8,0,196.3,156.891,42.9,49.8,586.25,877.81,274.81,230,115,22.41,191.8,0,305,357.6,224.8,399.7,175.75,135.3,519.5,287.31,267.7,45,134.91,109.8,149.7,123.72,0,115,39.9,0,39.9,0,23756.47616,115,23641.47616,0.99516,0
Purple & Pure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.75,76.5725,48.5175,69.855,90.5225,30.51,93.75,55.85,86.2,65.8,59.8,250.00266,186.175,245.55,465.855,197.4075,388.7,138.855,219.6,138.75,380.7325,301.9825,434.265,381.24,306.515,140.7,315.005,255.563,349.2775,1100.6075,4552.0325,932.385,783.5,950.9575,478.75,238.9,236.1075,370.6592,445.33766,521.41577,337.65,368.2075,343.9,347.555,306.8,343.665,117.45,244.55759,524.91499,181.8075,320.85,386.15215,557.95,524.9,355.9,626.8,431.9,480.075,318.8821,134.74878,23734.6214,0,23734.62139,1,0
Unplastik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.165,72.035,170.17,21.165,157.974,199.835,278.9,37.23,44.61,48.8,0,16.065,79.73,71.7,65.7,46.9,101.685,0,158.71,115.4,122.4,401.96,178.825,46.065,546.59,406.055,128.3,330.3,356.8,171.41,16.9,247.84,141.3,68.84,209.5,131.92,252.558,228.04,175.91,330.608,229.78,158.2,334.035,381.43,201.58,209,489.05,315.199,305.64,196.68,93.5,434.26,295.992,136.4,463.24,766.52,783.04,666.825,824.745,453.75,213.56,91.4,78.05,377.21943,238.57906,142.55505,230,273.9,210.05431,210.55,454.98,356.3,145.8,311,344.2,144.7,163,244.44192,323.5,184,148,415.25,200.5,282.97535,275.25,19998.52612,0,19998.52612,1,0
Ceramics by Jas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.2,168.2,159.68,0,81,602.2,684.16,623,639,29,127,35,92,53,404,189,84,337,243.2,317,208,82,119,438,478,308.55,167,142,228,35,375.5,147,141,109,45,49,0,331,349.3,331,570,208.1,86,58,74,177,80,115.6,205.2,476.3,94,388.1,185.7,123,190.54,56,105,2878,252.9,716,572.75,317,49,244.47826,168.86957,204,208,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18263.52783,0,18263.52783,1,0
Bunny Trading House,148.715,149.755,137.775,138.79,104.325,70.75,80.052,103.081,98.1,99.1,76.26,108.17,9.66,154.73,48.35,144.685,113.5,149.905,108.5,166.1,209.22,125.3,264.3,230.79,241.85,792.3,1381.9,478.7,101.2,224,234.55,267.908,98.3,134.9,111.3,281.06,213.7,181,226.81,211.1,90.2,286.2,155.9,158.645,138.2,406.4,180.2,177.2,191.6,137.4,183,198.1,194.69,70,78,152.4,65.1,134.2,249.5,280,87.5,100,206.71,49.3,63.9,147.9,55.35,51.42,41.2,202.8,117,133.5,164.642,67.5,92.1,312.48,202.6,350.605,272.99,188.2,154.2,220.61023,127.46801,459.15771,117,42.5,198,141.4,68,81.23,180.2,78,47,92.3,62,236.25,64.5,86.5,147.43,86.3,168.6,58.6,132.56,185.7,24,17914.62895,0,17914.62896,1,0
Arthur Zaaro,82,202,160,275,180,50,173.5,58.5,45,58.5,125,260,220.5,180,122,58.5,360,144,127,150.5,260.6,250.5,105.5,313.5,303.8,205,280,288.5,65,165,160,163.4,212.9,275,0,400,205,0,143.5,123.5,145,65,70,65,190,125,105,0,220,125,110,200,305,210,140,160,144,85,130.5,235,0,205,0,177.5,0,0,305,0,58.5,45,65,254,108.5,307.5,165,250,45,580,741.5,85,205,75,50,65,155,225,150,165,80,97.75,310,0,130.5,145,220,210,145,210,465,189,260,148.5,305,357.5,302.5,17840.45,0,17840.45,1,0
Taikensonzai(Muta),244,33.91,175,49,217.2,177,108.2,336,122.91,134.8,112.3,217.6,123.2,142.7,23,241,113.1,8,63.8,343.5,112.9,111,254.2,186.95,494.2,370,812,160.9,312,189,164,46.4,198,0,546,157.5,187,20,65.7,78.95,77.9,427,0,223.9,92,213,208.95,168,87.9,269,93,225,240.2,520,178,291,168.1,252.2,64.1,134.4,155.6,249.1,304,100,102,16,98,32.6,20,49,58,55,229.32,205,269,112,58,428,278.1,107,95,41,0,84.1,68,85,0,0,230,226.95,102,128,19,296,59,98.1,266.15,212.8,62,127,267.1,225.8,65,641,40,17751.29,0,17751.29,1,0
Havalina,0,0,162,45.9,45.9,199.8,191.7,183.6,148.5,45.9,54,340.2,54,207.9,48.6,153.9,97.2,148.5,156.6,108,271.08,205.2,378,513,610.2,378,315.9,0,153.9,162,394.2,132.84,108,162,202.5,162,207.9,199.8,194.4,251.1,99.9,162,45.9,45.9,54,162,364.5,315.9,361.8,99.9,318.6,48.6,0,48.6,108,108,177.12,54,54,48.6,0,219,256.35,108,267.6,156.6,171,145.8,111,444.3,108.3,273.3,456.12,219,97.2,270.3,210.9,473.1,751.8,196.8,297,210.56398,146.83636,0,0,0,0,0,0,0,0,0,0,0,0,0,108,159.9,219.3,228,316.6,270.6,0,102.9,0,17067.71034,0,17067.71034,1,0
Talking Toes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.84,434,140,207.42,373.8,432.892,293,401.9,678.2,1026.51501,827.3,1387.85,710.63,247,111.6113,332.74014,328.9633,218.75405,349.3,259,392.7,394.22,410.49,127.2,383.7,77.91,349.5,271.89,327.54,558.3,453,510.6,351.6,376.899,439.39798,688.62269,551.36601,208.45,15937.10148,0,15937.10131,1,0
NATURALSPOT PTE. LTD.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.673,60.45,150.8,275.255,587.05,781.1975,620.2,214.3,370.415,221.65454,239.99122,300.40033,304.35,444.44,649.63,334.61667,598.777,482.2525,446.91,318.91,656.02,488.67,345.49,742.98,828.47822,470.31,1033.55141,478.1,758.8,523.65,352.79731,526.76353,723.45,15471.33323,0,15471.33323,1,0
Tru Earth,75.2,181,263.4,161,259.2,341.4,159.6,358.54,220.46,226.76,76.44,193.99,55.24,183.16,152.28,202.2,248.4,267.96,175.48,314.02,219.76,322.4,310.7,479.3,105.84,39.6,338.4,124.8,193.4,163.8,0,82.2,186,212.64,163.8,137.2,70.194,298.52,247.28,150,150.4,39.6,121.2,72.96,167.89,101.2,146,303.4,39.6,124.44,126.4,130,172.6,169.6,19.6,121.2,19.6,109.76,55.2,126.44,19.6,75.2,189.64,88.92,94.64,173.68,62.6,214.9,76.84,79.2,197,416.14,33.228,55.24,39.2,247,136.32,208.6,114.84,0,137.84,91.24,123.2,23,18.05669,147.8,189.6,37.24,39.2,190.9,76.44,117.48,58.54375,98.4,35.6,106.16,106.8,19.6,74.8,108.44,74.8,224.8,130,78.4,0,15109.78244,10376.33409,4733.44835,0.31327,0
ERGO - Front & Center Pte Ltd,40.8,138.4,196.3,40.8,43.8,34.9,34.9,113.01,31.41,84.78713,427.42,123.5,0,54.81,21.9,104.11,36.72,83.32,39.42,0,172.404,145.5,41.61,158.975,106.412,441.2,324.12,106.5,119.5,0,0,74.758,21.9,106.5,34.9,56.7,51.12,0,116.94,163.2,37.8,104.7,78.7,0,40.8,21.9,18.9,75.7,75.7,0,18.9,40.8,81.6,0,19.71,60.81,90.44972,55.62,131.4,183.62,121.32,163.3,170.52,54.81,0,21.9,18.9,94.23,169.81,0,18.9,80.22,48.906,29.9,74.7,242.3,300.04,358.91,513.31,295.52,142.31,258.814,56.8,127.34815,80.7,358.45316,242.1,51.8,236.53067,202.06,374.43,288.11,361.91,374.895,221.39,543.705,300.45,290.07329,514.94359,198.81,153.4,198.23,247.1,308.52,35.82,13975.85471,0,13975.85471,1,0
Freedom Cups,115.5,212.5,73,152,146,148.35,298.45,98.55,32.85,102.2,261.5,109.5,138.7,182.5,105.85,32.85,135.05,102.2,105.85,105.85,175.2,105.85,142.35,62.05,32.12,255.5,182.5,255.5,182.5,219,73,36.5,73,219,182.5,109.5,109.5,146,69.35,73,182.5,73,105.85,36.5,73,182.5,219,146,109.5,36.5,36.5,146,182.5,255.5,36.5,0,65.7,215.35,255.5,350.4,244.55,0,178.85,31.025,73,240.9,171.55,303.315,138.7,109.5,109.5,36.5,85.41,105.85,36.5,75.38785,182.5,73,73,255.5,36.5,109.5,36.5,146,0,180.5,146,36.5,146,114.75,152,146,215.35,182.5,109.5,102.2,146,182.5,73,73,73,109.5,292,255.5,109.5,13769.80785,0,13769.80785,1,0
Annette,92,0,74.91,42,0,81,78,130.61,49.8,54,58.62,150.7,51.6,45.6,54,275.9,112.2,132.9,81.9,325.2,63.84,282,91,122.05,261.72,489,339,911.9,339,177.9,18,87.9,225.8,57,139.9,172.9,12,169,225.2,197,48,84,47.9,40.8,120,131,34.2,89,77,72,18,137,49.2,138.9,0,0,0,137,99.9,25,42,116.9,80.2,424,105.2,98.9,101.2,58.2,106.8,36,40,12.9,85.84,45.6,21.6,153.8,96,271.9,344.4,86.8,202,114,33.22953,110.4914,18,90,35,66,234,351.9,328,24,46.8,298.7,18,112,103.2,378.81,42,735,72,167.5,167,36.9,0,13734.72093,0,13734.72093,1,0
Arken Enterprises(Desi),100,190,0,190,0,0,0,0,0,0,0,0,0,180,100,0,90,271,81,180,0,351,0,246.5,100,290,390,100,90,0,90,246,0,0,63,100,180,0,0,0,100,100,0,0,0,180,0,90,100,190,0,0,270,0,100,0,0,0,0,361,90,271,90,0,0,100,0,162,190,90,0,180,248.2,0,81,2500,90,0,200,461,190,190,0,175.33333,0,0,90,0,90,0,0,90,180,90,180,90,180,262,290,280,90,180,181,331.5,180,13212.53333,0,13212.53333,1,0
Purnama Outreach,113,95,62,55.5,113.5,31,0,200.9,114,37.8,107,0,0,5.85,96.2,28,36,0,41.5,157.5,0,52,174,177,137.4,89.8,93.4,0,119.6,0,318,99,114,63,130,88.5,0,108,0,45,209,509.15,129.75,58,316.7,185,214,19.8,50,76,151,101.45,73,73.5,234,328.1,41.5,362.5,142,327.35,130.5,155.6,79.75,157.3,46.5,46,101.6,47.5,0,98,350,46,247.8,296.2,93,285,379,209,405.2,142,31,245,30,330.69001,57,0,31.5,134,139,174.9,13.5,22.5,60,24.5,182.5,133.8,21.25,49,363.1,0,69.55,354,0,0,0,12487.99001,0,12487.99001,1,0
PaperClips,78.63,0,146.25,118.54,119.07,30.81,74.372,94.046,108.219,0,63.76,144.73,104.905,80.77,70.52,60.026,101.643,99.086,61.096,70.202,0,93.648,348.603,128.288,432.6044,521.866,957.58,0,0,0,79.023,53.4,47.82,47.82,47.82,268.988,164.98,125.926,78.106,69.34,18.73,34.67,130.31,15.9205,104.01,144.656,0,172.486,62.166,95.64,46.226,63.76,63.76,125.528,25.04,0,0,31.88,0,15.94,0,63.76,307.656,115.02,44.146,34.33856,123.292,79.253,106.798,15.94,47.82,0,65.6728,15.94,0,63.916,524.65,343.856,722.897,267.8,14.346,62.95768,28.31,15.94,31.88,61.68,47.82,31.88,46.78,13.549,45.156,15.94,0,30.81,28.692,-28.692,15.94,111.58,85.28,69.34,0,46.75,0,42.048,0,10003.95194,5044.57,4959.38194,0.49574,0
